_id,value_seconds,_id,value_firsts,abs_diff,percent_diff
1633_1,0,1633_1,1,-1,-1.0
1843_3,0,1843_3,1,-1,-1.0
1843_9,1,1843_9,0,1,inf
1845_3,0,1845_3,1,-1,-1.0
1850_12,0,1850_12,1,-1,-1.0
1851_11,0,1851_11,1,-1,-1.0
1863_12,1,1863_12,0,1,inf
1866_2,1,1866_2,0,1,inf
1868_5,1,1868_5,0,1,inf
1868_9,1,1868_9,0,1,inf
1869_10,1,1869_10,1,0,0.0
1869_3,3,1869_3,0,3,inf
1869_4,0,1869_4,1,-1,-1.0
1869_5,2,1869_5,2,0,0.0
1870_1,0,1870_1,1,-1,-1.0
1870_3,0,1870_3,2,-2,-1.0
1870_8,0,1870_8,1,-1,-1.0
1870_9,0,1870_9,1,-1,-1.0
1871_1,1,1871_1,0,1,inf
1871_3,1,1871_3,0,1,inf
1871_4,0,1871_4,1,-1,-1.0
1871_5,1,1871_5,1,0,0.0
1871_6,0,1871_6,2,-2,-1.0
1871_9,1,1871_9,0,1,inf
1872_11,1,1872_11,0,1,inf
1872_3,1,1872_3,0,1,inf
1872_9,0,1872_9,1,-1,-1.0
1873_3,1,1873_3,1,0,0.0
1874_1,2,1874_1,0,2,inf
1874_10,1,1874_10,1,0,0.0
1874_4,1,1874_4,0,1,inf
1875_11,1,1875_11,0,1,inf
1875_2,1,1875_2,1,0,0.0
1876_5,1,1876_5,2,-1,-0.5
1876_7,1,1876_7,0,1,inf
1876_9,1,1876_9,1,0,0.0
1877_12,0,1877_12,1,-1,-1.0
1877_4,1,1877_4,0,1,inf
1877_5,0,1877_5,1,-1,-1.0
1877_8,1,1877_8,0,1,inf
1878_5,1,1878_5,0,1,inf
1880_2,0,1880_2,1,-1,-1.0
1880_4,0,1880_4,1,-1,-1.0
1880_9,1,1880_9,1,0,0.0
1881_12,1,1881_12,0,1,inf
1882_1,1,1882_1,0,1,inf
1882_5,1,1882_5,1,0,0.0
1883_10,1,1883_10,0,1,inf
1883_11,1,1883_11,0,1,inf
1883_8,1,1883_8,0,1,inf
1883_9,0,1883_9,1,-1,-1.0
1884_4,1,1884_4,0,1,inf
1884_9,1,1884_9,0,1,inf
1885_2,1,1885_2,0,1,inf
1885_3,1,1885_3,0,1,inf
1886_11,0,1886_11,1,-1,-1.0
1886_2,1,1886_2,0,1,inf
1887_1,0,1887_1,1,-1,-1.0
1887_10,1,1887_10,0,1,inf
1887_12,0,1887_12,1,-1,-1.0
1887_2,1,1887_2,0,1,inf
1887_7,1,1887_7,1,0,0.0
1888_1,1,1888_1,0,1,inf
1888_3,1,1888_3,0,1,inf
1888_4,1,1888_4,0,1,inf
1888_8,1,1888_8,0,1,inf
1889_1,0,1889_1,1,-1,-1.0
1889_11,1,1889_11,0,1,inf
1889_12,1,1889_12,1,0,0.0
1889_3,0,1889_3,2,-2,-1.0
1889_9,0,1889_9,1,-1,-1.0
1890_3,1,1890_3,0,1,inf
1891_3,3,1891_3,0,3,inf
1892_12,0,1892_12,1,-1,-1.0
1892_3,1,1892_3,0,1,inf
1892_6,1,1892_6,1,0,0.0
1893_12,2,1893_12,2,0,0.0
